Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
007394                            ;03/02/2025;    ;098746;003;    ;0018503;VICTOR DISTRIBUIDOR                               ;(75)99885-0290 ;020;206;SJQ4A23;    1605,70;    1,58;03/02/2025;42;Produto/Quantidade Errada     ;   ;emerson.al ;16:10
007398                            ;03/02/2025;    ;098861;003;    ;0027784;MERCADO DILHA                                     ;(75)98226-3698 ;010;106;SJQ6F87;     174,60;    0,36;03/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;jose.al    ;19:18
007400                            ;03/02/2025;    ;098899;003;    ;0084257;Abatedouro vitoria                                ;(75)98545-6446 ;010;110;SJQ3B63;     934,30;    1,16;03/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;17:15
007406                            ;03/02/2025;    ;099020;003;    ;0040347;DISTRIBUIDORA SANTOS                              ;(07)59807-3838 ;020;206;JSM4818;      80,94;    0,24;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;17:49
007406                            ;03/02/2025;    ;099025;003;    ;0040067;PIZZARIA PAULISTA                                 ;(75)99885-1935 ;020;203;JSM4818;     701,58;    1,45;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;17:50
007406                            ;03/02/2025;    ;099026;003;    ;0040045;TEMPERO VERDE                                     ;(07)59714-7395 ;020;206;JSM4818;     420,44;    0,72;03/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;17:49
007406                            ;03/02/2025;    ;099031;003;    ;0018750;FENIX BAR                                         ;(75)99977-0852 ;020;206;JSM4818;     272,36;    0,45;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;17:49
007410                            ;03/02/2025;    ;099078;003;    ;0040329;LAVA JATO E BORRACHA                              ;(07)59820-7330 ;020;203;PMV0A05;      72,28;    0,08;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;15:52
007411                            ;03/02/2025;    ;099106;003;    ;0019608;BOX DE CLAUDINHA 2                                ;(71)99621-7743 ;010;101;SKJ7D60;     149,90;    0,14;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;08:17
007411                            ;03/02/2025;    ;099109;003;    ;0037028;MELHOR PRECO                                      ;(71) 9944-9853 ;030;306;SKJ7D60;       7,50;    0,01;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;08:17
007411                            ;03/02/2025;    ;099116;003;    ;0082398;TREILLER DA MORENA                                ;(71)99619-3566 ;010;108;SKJ7D60;      60,00;    0,06;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;08:16
007411                            ;03/02/2025;    ;099117;003;    ;0082398;TREILLER DA MORENA                                ;(71)99619-3566 ;010;108;SKJ7D60;      18,26;    0,02;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;08:16
007411                            ;03/02/2025;    ;099129;003;    ;0048250;FaSNIX KA                                         ;(75)99954-2620 ;010;108;SKJ7D60;     116,72;    0,15;04/02/2025;23;(C)Pedidos duplicados         ;   ;tailan.al  ;08:16
007411                            ;03/02/2025;    ;099132;003;    ;0024511;IDALBA DISTRIBUIDORA                              ;(71) 9907-7917 ;010;109;SKJ7D60;     157,80;    0,24;04/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;tailan.al  ;08:17
007412                            ;03/02/2025;    ;099145;003;    ;0082848;BAR.RECANTO DA LAGOA                              ;(66) 6666-6662 ;010;107;PXX2E06;      53,90;    0,06;03/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;16:45
007413                            ;03/02/2025;    ;099154;003;    ;0055136;CHOPP DA ABELHINHA                                ;(75)99147-4984 ;010;107;PLL7H92;      44,04;    0,12;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;15:15
007413                            ;03/02/2025;    ;099156;003;    ;0032604;CANTINHO DA FAFA                                  ;(75)98303-6978 ;010;111;PLL7H92;     145,94;    0,30;03/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;15:15
007414                            ;03/02/2025;    ;099190;003;    ;0082636;Restaurante AraÃºjo                               ;               ;010;103;JQP3F55;      47,88;    0,06;03/02/2025;33;Nao Fez Pedido                ;   ;emerson.al ;15:18
007426                            ;04/02/2025;    ;099200;003;    ;0050299;CHURRASCARIA BRASA A                              ;(07)59820-2816 ;020;205;SJQ5E98;     473,00;    0,55;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;cesar.al   ;22:30
007427                            ;04/02/2025;    ;099213;003;    ;0060273;ENCONTRO DOS GOLFINH                              ;(71)99634-5491 ;020;201;SJQ1F85;     407,22;    0,86;05/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;20:46
007427                            ;04/02/2025;    ;099218;003;    ;0060636;KIOSQUE ESTRELA                                   ;(75)99869-7027 ;020;201;SJQ1F85;     267,39;    0,19;05/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;20:46
007427                            ;04/02/2025;    ;099228;003;    ;0019603;COMERCIAL OLIVEIRA                                ;(71)98801-6813 ;010;109;SJQ1F85;     343,56;    0,96;05/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;20:47
007427                            ;04/02/2025;    ;099229;003;    ;0019616;PARADA OBRIGATÓRIA                                ;(71)99699-5037 ;020;201;SJQ1F85;     466,54;    0,22;05/02/2025;50;CARGA ERRADA ARMAZEM          ;   ;emerson.al ;20:47
007427                            ;04/02/2025;    ;099230;003;    ;0060009;LANCHONETE KM 87                                  ;(09)99999-9999 ;020;208;SJQ1F85;       2,56;    0,00;05/02/2025;85;DIFICIL ACESSO                ;   ;emerson.al ;20:44
007427                            ;04/02/2025;    ;099231;003;    ;0060388;MERCADO DA PONTE                                  ;(07)59945-8352 ;020;208;SJQ1F85;     224,92;    0,42;05/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;20:46
007427                            ;04/02/2025;    ;099234;003;    ;0060498;MERCEARIA BEIRA RIO                               ;(71)99657-4884 ;020;208;SJQ1F85;      44,04;    0,12;05/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.al ;20:47
007427                            ;04/02/2025;    ;099235;003;    ;0060893;DEPOSITO DO COROA                                 ;(07)59956-8760 ;020;208;SJQ1F85;      87,12;    0,27;05/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;emerson.al ;20:45
007427                            ;04/02/2025;    ;099236;003;    ;0060893;DEPOSITO DO COROA                                 ;(07)59956-8760 ;020;208;SJQ1F85;      28,50;    0,12;05/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;emerson.al ;20:45
007427                            ;04/02/2025;    ;099237;003;    ;0060811;BAR PIXICO                                        ;(75)99884-5174 ;020;208;SJQ1F85;     120,99;    0,20;05/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.al ;20:46
007427                            ;04/02/2025;    ;099239;003;    ;0019374;EBENÉZER                                          ;(75)99893-4830 ;020;208;SJQ1F85;     154,26;    0,45;05/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;emerson.al ;20:48
007430                            ;04/02/2025;    ;099300;003;    ;0030305;ANDRADE LANCHES                                   ;(07)59812-2282 ;020;207;QKX6909;     106,40;    0,24;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;cesar.al   ;20:14
007434                            ;04/02/2025;    ;099437;003;    ;0092610;BAR DO DAVID                                      ;(75)98526-5474 ;010;106;SJQ6F87;     812,00;    0,99;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;16:50
007441                            ;04/02/2025;    ;099591;003;    ;0089521;KARAOKE KARISMA BAR                               ;(75)99206-6681 ;010;111;IAK5E60;     422,72;    0,57;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;14:30
007442                            ;04/02/2025;    ;099600;003;    ;0033944;BAR DA MEIRE                                      ;(75)99907-8077 ;020;204;JSM4818;       7,50;    0,00;04/02/2025;42;Produto/Quantidade Errada     ;   ;tailan.al  ;18:34
007447                            ;04/02/2025;    ;099665;003;    ;0040396;BAR JUERANA                                       ;(75)99945-3186 ;020;203;TCW8F43;     155,80;    0,25;04/02/2025;32;ENTREGA ATRASADA (BUFFER)     ;   ;tailan.al  ;15:46
007447                            ;04/02/2025;    ;099667;003;    ;0030173;MERCEARIA REUNIDAS                                ;(75)99909-7739 ;020;207;TCW8F43;     233,46;    0,41;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;15:47
007447                            ;04/02/2025;    ;099668;003;    ;0030173;MERCEARIA REUNIDAS                                ;(75)99909-7739 ;020;207;TCW8F43;      26,76;    0,04;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;tailan.al  ;15:47
007447                            ;04/02/2025;    ;099669;003;    ;0030173;MERCEARIA REUNIDAS                                ;(75)99909-7739 ;020;207;TCW8F43;      10,00;    0,01;04/02/2025;72;PDV FECHADO (HORARIO COM.)    ;DER;tailan.al  ;15:48
