Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora
103004                            ;01/02/2024;    ;116507;005;    ;0001498;DISTRIBUIDORA RF                                  ;(74)98858-1988 ;030;307;PKR6303;     548,90;    0,75;01/02/2024;41;Sem Vasilhame.                ;   ;sergio     ;19:12
103004                            ;01/02/2024;    ;116509;005;    ;0001498;DISTRIBUIDORA RF                                  ;(74)98858-1988 ;030;307;PKR6303;     399,20;    0,55;01/02/2024;41;Sem Vasilhame.                ;   ;sergio     ;19:12
103004                            ;01/02/2024;    ;116510;005;    ;0001498;DISTRIBUIDORA RF                                  ;(74)98858-1988 ;030;307;PKR6303;     399,20;    0,55;01/02/2024;41;Sem Vasilhame.                ;   ;sergio     ;19:13
103004                            ;01/02/2024;    ;116511;005;    ;0001498;DISTRIBUIDORA RF                                  ;(74)98858-1988 ;030;307;PKR6303;     548,90;    0,75;01/02/2024;41;Sem Vasilhame.                ;   ;sergio     ;19:12
103004                            ;01/02/2024;    ;116513;005;    ;0001498;DISTRIBUIDORA RF                                  ;(74)98858-1988 ;030;307;PKR6303;     499,00;    0,69;01/02/2024;41;Sem Vasilhame.                ;   ;sergio     ;19:11
103014                            ;01/02/2024;    ;116967;005;    ;0000281;COMERCIAL GONCALVES                               ;(74) 9148-6356 ;030;306;OUZ6207;     205,70;    0,28;01/02/2024;32;ENTREGA ATRASADA (BUFFER)     ;   ;sergio     ;19:02
103014                            ;01/02/2024;    ;116983;005;    ;0001029;ADIVINHA BAR                                      ;(74)98110-7924 ;030;305;OUZ6207;     110,99;    0,16;01/02/2024;38;Sem Dinheiro                  ;   ;sergio     ;19:02
103014                            ;01/02/2024;    ;116990;005;    ;0063304;MERC MINI PRECO                                   ;(71)98510-2667 ;030;301;OUZ6207;      28,88;    0,01;01/02/2024;38;Sem Dinheiro                  ;   ;sergio     ;19:02
103014                            ;01/02/2024;    ;116991;005;    ;0063304;MERC MINI PRECO                                   ;(71)98510-2667 ;030;301;OUZ6207;     349,30;    0,48;01/02/2024;38;Sem Dinheiro                  ;   ;sergio     ;19:01
103014                            ;01/02/2024;    ;116992;005;    ;0063304;MERC MINI PRECO                                   ;(71)98510-2667 ;030;301;OUZ6207;     294,22;    0,34;01/02/2024;38;Sem Dinheiro                  ;   ;sergio     ;19:01
103018                            ;01/02/2024;    ;117107;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;     998,00;    1,38;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:58
103018                            ;01/02/2024;    ;117108;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;      40,74;    0,01;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:59
103018                            ;01/02/2024;    ;117109;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;      20,90;    0,04;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:58
103018                            ;01/02/2024;    ;117110;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;    1021,88;    1,42;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:57
103018                            ;01/02/2024;    ;117111;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;     953,10;    1,29;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:57
103018                            ;01/02/2024;    ;117112;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;     953,10;    1,29;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:56
103018                            ;01/02/2024;    ;117113;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;     953,10;    1,29;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:56
103018                            ;01/02/2024;    ;117114;005;    ;0062731;ARMAZEM AEB                                       ;(74) 3645-2245 ;030;302;KKM3540;     953,10;    1,29;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:55
103019                            ;01/02/2024;    ;117134;005;    ;0000511;BAR DO BINHO                                      ;(74)99131-9794 ;030;309;RDN9A13;     225,70;    0,28;01/02/2024;38;Sem Dinheiro                  ;   ;sergio     ;18:42
103045                            ;02/02/2024;    ;117386;005;    ;0060357;MERCADINHO DA VERA                                ;(74) 3541-4786 ;030;309;RPP1C50;      81,80;    0,11;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;martins    ;17:10
103045                            ;02/02/2024;    ;117389;005;    ;0062726;BAR DA GI                                         ;(74) 9196-9884 ;030;309;RPP1C50;     544,32;    0,72;02/02/2024;70;CLIENTE CANCELOU              ;   ;martins    ;17:07
103048                            ;02/02/2024;    ;117530;005;    ;0001410;DISTRIBUIDORA FELIX                               ;(74)99910-8933 ;030;309;PKK4924;     316,80;    0,45;02/02/2024;41;Sem Vasilhame.                ;   ;victor     ;20:12
103048                            ;02/02/2024;    ;117532;005;    ;0092760;TEND TUDO                                         ;(79)99105-7742 ;030;309;PKK4924;    1000,64;    2,19;02/02/2024;62;FORMA PAGAMENTO ERRADA        ;   ;victor     ;20:13
103050                            ;02/02/2024;    ;117601;005;    ;0002722;POINT DO ACARAJE                                  ;(74)99936-9624 ;030;307;OUZ6207;     318,25;    0,35;02/02/2024;33;Nao Fez Pedido                ;   ;victor     ;19:01
103051                            ;02/02/2024;    ;117623;005;    ;0062268;BAR DA SANDRA                                     ;(74)99111-2276 ;030;305;RPR2G22;     206,42;    0,26;02/02/2024;64;SEM VASILHAME                 ;   ;martins    ;16:55
103051                            ;02/02/2024;    ;117634;005;    ;0003457;ESPETARIA                                         ;(74)99161-2444 ;030;304;RPR2G22;      13,16;    0,09;02/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;martins    ;16:57
