Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
111056                            ;01/02/2025;    ;255080;005;    ;0001518;Mercadinho Vitoria                                ;(74)99191-2342 ;030;300;OZD4576;     155,70;    0,20;01/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;joelson    ;16:38
111056                            ;01/02/2025;    ;255084;005;    ;0003706;BAR DO WELLINGTON                                 ;(74)99949-1487 ;030;303;OZD4576;     486,04;    0,73;01/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;joelson    ;16:36
111056                            ;01/02/2025;    ;255085;005;    ;0003706;BAR DO WELLINGTON                                 ;(74)99949-1487 ;030;303;OZD4576;      36,10;    0,04;01/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;joelson    ;16:37
111056                            ;01/02/2025;    ;255086;005;    ;0003706;BAR DO WELLINGTON                                 ;(74)99949-1487 ;030;303;OZD4576;      28,50;    0,12;01/02/2025;82;ENDERECO NAO ENCONTRADO       ;   ;joelson    ;16:37
111056                            ;01/02/2025;    ;255095;005;    ;0003115;VILLA SERTAO                                      ;(74)99915-3810 ;030;300;OZD4576;     666,74;    0,85;01/02/2025;42;Produto/Quantidade Errada     ;   ;joelson    ;16:39
111056                            ;01/02/2025;    ;255096;005;    ;0003115;VILLA SERTAO                                      ;(74)99915-3810 ;030;300;OZD4576;      47,58;    0,05;01/02/2025;42;Produto/Quantidade Errada     ;   ;joelson    ;16:40
111056                            ;01/02/2025;    ;255097;005;    ;0003115;VILLA SERTAO                                      ;(74)99915-3810 ;030;300;OZD4576;     269,80;    0,28;01/02/2025;42;Produto/Quantidade Errada     ;   ;joelson    ;16:41
111056                            ;01/02/2025;    ;255108;005;    ;0001140;Bar e Rest Oliveira                               ;(74)98804-4327 ;030;302;OZD4576;     234,00;    0,27;01/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;joelson    ;16:43
111056                            ;01/02/2025;    ;255109;005;    ;0001140;Bar e Rest Oliveira                               ;(74)98804-4327 ;030;302;OZD4576;     266,90;    0,28;01/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;joelson    ;16:43
111056                            ;01/02/2025;    ;255110;005;    ;0001140;Bar e Rest Oliveira                               ;(74)98804-4327 ;030;302;OZD4576;      83,68;    0,09;01/02/2025;71;SEM DINHEIRO/CHEQUE           ;   ;joelson    ;16:42
