Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora
216618                            ;01/02/2024;    ;254344;007;    ;0057975;ART REY                                           ;(74) 9912-5212 ;020;203;NZM4666;       4,35;    0,00;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;13:39
216618                            ;01/02/2024;    ;254346;007;    ;0050428;OPCAO BAR                                         ;(74)98119-3764 ;020;203;NZM4666;      92,98;    0,01;02/02/2024;50;CARGA ERRADA ARMAZEM          ;   ;teles      ;13:38
216619                            ;01/02/2024;    ;254414;007;    ;0057026;Mercadinho Passos BR                              ;(74)98855-2198 ;020;201;RPP0E77;       9,57;    0,02;02/02/2024;63;PRODUTO / QTDE. ERRADA        ;   ;silva      ;02:01
216619                            ;01/02/2024;    ;254415;007;    ;0057026;Mercadinho Passos BR                              ;(74)98855-2198 ;020;201;RPP0E77;       1,51;    0,00;02/02/2024;63;PRODUTO / QTDE. ERRADA        ;   ;silva      ;02:01
216620                            ;01/02/2024;    ;254460;007;    ;0050560;BAR DO CLAUDINHO                                  ;(74)98839-7617 ;020;201;SJQ9B60;     648,70;    0,89;01/02/2024;72;PDV FECHADO (HORARIO COM.)    ;DER;silva      ;20:49
216628                            ;01/02/2024;    ;254780;007;    ;0064179;DESTIBRUIDORA  DA SI                              ;(74)98858-2644 ;010;111;KHL4414;     499,00;    0,69;01/02/2024;82;ENDERECO NAO ENCONTRADO       ;   ;silva      ;18:25
216628                            ;01/02/2024;    ;254782;007;    ;0059321;MINHA CASA                                        ;(74)98874-3447 ;010;111;KHL4414;     748,50;    1,03;01/02/2024;84;AREA DE RISCO                 ;   ;silva      ;18:26
216632                            ;01/02/2024;    ;254898;007;    ;0051076;SUPER J BEZERRA                                   ;(74)98880-4045 ;080;811;OZE4956;      66,96;    0,24;01/02/2024;81;PRODUTO DANIFICADO / FALTA    ;   ;ediziene   ;15:09
216638                            ;01/02/2024;    ;255008;007;    ;0025379;PIZZARIA TROPICAL                                 ;(74)98862-5273 ;010;102;PKK0690;      43,42;    0,04;01/02/2024;95;TROCA P/ INVERSAO             ;   ;ediziene   ;18:05
216643                            ;01/02/2024;    ;255119;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;      49,90;    0,06;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:33
216643                            ;01/02/2024;    ;255120;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;      72,96;    0,12;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:33
216643                            ;01/02/2024;    ;255121;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;     117,52;    0,14;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:34
216643                            ;01/02/2024;    ;255122;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;     499,00;    0,69;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:34
216643                            ;01/02/2024;    ;255123;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;     565,00;    0,69;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:34
216643                            ;01/02/2024;    ;255124;007;    ;0062576;DIST DO BRUTINHO                                  ;(74)99102-2772 ;010;108;RDN7A69;     201,05;    0,26;01/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:35
216645                            ;01/02/2024;    ;255171;007;    ;0056390;DISTRIBUIDORA ROSA                                ;(74)98821-9859 ;010;105;PKK8518;     576,28;    0,81;01/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;16:17
216646                            ;01/02/2024;    ;255211;007;    ;0023015;DISTRIBUIDOR BEZERRA                              ;(74)98819-6003 ;010;102;PKL6654;     255,68;    0,33;01/02/2024;63;PRODUTO / QTDE. ERRADA        ;   ;ediziene   ;15:21
216651                            ;01/02/2024;    ;255405;007;    ;0055031;DISTR SAO FRANCISCO                               ;(74)98837-9905 ;010;103;NKV3226;     893,27;    1,03;01/02/2024;70;CLIENTE CANCELOU              ;   ;ediziene   ;15:24
216677                            ;02/02/2024;    ;255799;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;      49,90;    0,06;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:49
216677                            ;02/02/2024;    ;255800;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;     550,10;    0,79;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:49
216677                            ;02/02/2024;    ;255801;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;      99,70;    0,27;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:47
216677                            ;02/02/2024;    ;255802;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;      68,46;    0,06;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:48
216677                            ;02/02/2024;    ;255803;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;     199,60;    0,27;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:48
216677                            ;02/02/2024;    ;255804;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;     149,70;    0,20;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:47
216677                            ;02/02/2024;    ;255805;007;    ;0053402;BAR DA ZENAIDE                                    ;(74)98818-7309 ;020;201;SJQ9B60;     263,80;    0,28;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;aloisio    ;20:46
216682                            ;02/02/2024;    ;256029;007;    ;0056060;MERCADINHO SUPERVALE                              ;(74) 3618-3039 ;010;109;OZF1202;     241,34;    0,32;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;15:58
216688                            ;02/02/2024;    ;256228;007;    ;0063511;DELICIAS DO VALE                                  ;(74)98819-1004 ;010;107;KJP3656;     263,80;    0,28;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;15:45
216688                            ;02/02/2024;    ;256240;007;    ;0056597;PORAO HAMBURGUERIA                                ;(87)99958-2070 ;010;108;KJP3656;     550,82;    0,88;02/02/2024;50;CARGA ERRADA ARMAZEM          ;   ;teles      ;15:44
216693                            ;02/02/2024;    ;256309;007;    ;0062258;SUPERMERCADO UNIPREC                              ;(74)98836-8023 ;080;811;PKK0690;    2973,07;    5,88;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;17:50
216693                            ;02/02/2024;    ;256310;007;    ;0062258;SUPERMERCADO UNIPREC                              ;(74)98836-8023 ;080;811;PKK0690;     701,80;    0,92;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;17:50
216694                            ;02/02/2024;    ;256350;007;    ;0057280;DIST JOSE                                         ;(74)98874-3620 ;010;102;PKK8518;      81,99;    0,24;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;17:40
216695                            ;02/02/2024;    ;256375;007;    ;0023559;PANIFICADORA DIAS                                 ;(74) 3613-1839 ;010;105;RDN1D46;      62,44;    0,16;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;13:44
216697                            ;02/02/2024;    ;256431;007;    ;0061492;DK DISTRIBUIDOR                                   ;(74)98825-0886 ;010;106;RPR6D25;     342,30;    0,34;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;13:40
216697                            ;02/02/2024;    ;256432;007;    ;0061492;DK DISTRIBUIDOR                                   ;(74)98825-0886 ;010;106;RPR6D25;     136,92;    0,13;02/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;13:40
216703                            ;02/02/2024;    ;256171;007;    ;0062288;DESCUBRA BAR                                      ;(74)98801-9858 ;010;107;NZN3352;    1500,00;    0,00;02/02/2024;28;(C)Problemas CTE              ;   ;teles      ;16:36
216711                            ;02/02/2024;    ;256599;007;    ;0062288;DESCUBRA BAR                                      ;(74)98801-9858 ;010;107;PKO5544;    1500,00;    0,00;02/02/2024;51;NF ERRADA                     ;   ;teles      ;17:33
216715                            ;03/02/2024;    ;256611;007;    ;0058521;CHURRASCARIA ESTANCI                              ;(74)99934-7987 ;010;109;OZF1202;    1406,30;    1,54;03/02/2024;64;SEM VASILHAME                 ;   ;ediziene   ;17:44
216717                            ;03/02/2024;    ;256661;007;    ;0055412;MERCADINHO SANTIAGO                               ;(74)98815-3751 ;010;109;NZM5543;     499,00;    0,69;03/02/2024;64;SEM VASILHAME                 ;   ;ediziene   ;13:40
216718                            ;03/02/2024;    ;256714;007;    ;0056595;R E MERC E DISTRIBUI                              ;(74)98815-1227 ;010;109;RCQ9D86;     499,00;    0,69;03/02/2024;70;CLIENTE CANCELOU              ;   ;ediziene   ;13:29
216723                            ;03/02/2024;    ;256798;007;    ;0002230;COMERCIAL J SALES                                 ;(74) 3613-2946 ;010;102;PKL6654;       8,54;    0,00;03/02/2024;68;TROCA (SEM SELO / QTDE. ERRADA;   ;ediziene   ;14:29
216724                            ;03/02/2024;    ;256813;007;    ;0051183;MERCADINHO PASSOS                                 ;(74)98841-3655 ;010;103;NZM7723;    2170,28;    3,33;03/02/2024;43;Forma de Pagamento            ;   ;ediziene   ;13:38
216724                            ;03/02/2024;    ;256814;007;    ;0051183;MERCADINHO PASSOS                                 ;(74)98841-3655 ;010;103;NZM7723;       5,47;    0,01;03/02/2024;43;Forma de Pagamento            ;   ;ediziene   ;13:38
216725                            ;03/02/2024;    ;256837;007;    ;0063625;PONTO DO CALDO DE CA                              ;(74)98859-6396 ;010;108;KJP3656;      38,42;    0,04;03/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;16:24
216725                            ;03/02/2024;    ;256838;007;    ;0063625;PONTO DO CALDO DE CA                              ;(74)98859-6396 ;010;108;KJP3656;      19,35;    0,04;03/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;16:25
216725                            ;03/02/2024;    ;256848;007;    ;0051455;MERCADINHO ROCHA                                  ;(74)99144-4900 ;010;101;KJP3656;    1193,80;    2,01;03/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;16:25
216727                            ;03/02/2024;    ;256883;007;    ;0058603;AN DISTRI DO VALE                                 ;(74)98143-8032 ;010;102;JSV0H59;      49,90;    0,06;03/02/2024;62;FORMA PAGAMENTO ERRADA        ;   ;ediziene   ;14:31
216730                            ;03/02/2024;    ;256987;007;    ;0056154;TURMA DO COPO                                     ;(74)98873-1836 ;010;106;LKI1H89;     263,52;    0,34;03/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;ediziene   ;13:43
216745                            ;05/02/2024;    ;257063;007;    ;0055593;PIZZARIA PAULISTA                                 ;(74)99996-1531 ;020;206;OUX8B81;     627,38;    1,23;06/02/2024;72;PDV FECHADO (HORARIO COM.)    ;DER;aloisio    ;22:02
216747                            ;05/02/2024;    ;257172;007;    ;0064334;comercial tapagem                                 ;(74)99902-2723 ;020;206;NZN3352;     162,06;    0,26;06/02/2024;87;TEMPO INSUFICIENTE            ;   ;aloisio    ;23:18
216747                            ;05/02/2024;    ;257181;007;    ;0052986;BAR DO RONA                                       ;(74)99989-2648 ;020;204;NZN3352;     119,58;    0,14;06/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;aloisio    ;23:19
216747                            ;05/02/2024;    ;257184;007;    ;0052986;BAR DO RONA                                       ;(74)99989-2648 ;020;204;NZN3352;     162,90;    0,20;06/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;aloisio    ;23:19
216749                            ;05/02/2024;    ;257355;007;    ;0057458;Padaria Cantin Do Pa                              ;(74)99158-5110 ;020;205;RPP7B52;     445,44;    0,98;07/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;14:19
216752                            ;05/02/2024;    ;257536;007;    ;0057446;BUTECO DO VAL                                     ;(74)98804-1557 ;020;203;NZM4666;     148,11;    0,18;06/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;13:26
216763                            ;05/02/2024;    ;257685;007;    ;0062594;MERCADINHO DONA ROSA                              ;(87)98125-1224 ;010;111;PKK0690;     694,71;    0,95;05/02/2024;70;CLIENTE CANCELOU              ;   ;silva      ;19:33
216765                            ;05/02/2024;    ;257752;007;    ;0053714;MERCEARIA VITORIA                                 ;(74) 3611-7390 ;020;203;NZM8419;     894,42;    1,52;06/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;teles      ;15:28
216766                            ;05/02/2024;    ;257801;007;    ;0052548;MERC SHOW DE PRECO                                ;(74)98825-2391 ;020;202;OZE4956;     395,36;    0,72;05/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;17:42
216766                            ;05/02/2024;    ;257802;007;    ;0052548;MERC SHOW DE PRECO                                ;(74)98825-2391 ;020;202;OZE4956;      63,80;    0,08;05/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;ediziene   ;17:42
216769                            ;05/02/2024;    ;257856;007;    ;0056963;Lanch E Rest Cagema                               ;(74)99124-5625 ;010;107;RPR6D25;     463,48;    0,77;05/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:24
216769                            ;05/02/2024;    ;257864;007;    ;0053055;NALVA LANCHES                                     ;(74) 8856-9075 ;010;105;RPR6D25;     124,32;    0,36;05/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:25
216769                            ;05/02/2024;    ;257865;007;    ;0053055;NALVA LANCHES                                     ;(74) 8856-9075 ;010;105;RPR6D25;      48,00;    0,00;05/02/2024;89;PDV FECHADO APOS HORARIO      ;   ;ediziene   ;13:25
216771                            ;05/02/2024;    ;257894;007;    ;0025904;ESPETINHO SO FILE                                 ;(74) 3611-2572 ;010;108;RDN7A69;     125,90;    0,14;05/02/2024;68;TROCA (SEM SELO / QTDE. ERRADA;   ;ediziene   ;14:12
216772                            ;05/02/2024;    ;257910;007;    ;0055127;DISTRIBUIDORA LIMA                                ;(74)99814-7352 ;010;103;RDN1D46;     434,26;    0,72;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;ediziene   ;13:33
216777                            ;05/02/2024;    ;257977;007;    ;0056647;EDINALVA SOUZA                                    ;(74)98822-2418 ;010;101;RDN1D46;     648,70;    0,89;05/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;silva      ;18:24
216780                            ;05/02/2024;    ;258043;007;    ;0064315;MERCEARIA DO KEKEL                                ;(74)99931-5490 ;010;107;OZF1202;    1005,64;    1,28;05/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;ediziene   ;18:10
216783                            ;05/02/2024;    ;258118;007;    ;0056212;MAMACA BEBIDAS                                    ;(64)99950-2060 ;010;110;RCQ9D86;    1895,88;    2,48;05/02/2024;64;SEM VASILHAME                 ;   ;ediziene   ;18:
216786                            ;05/02/2024;    ;257234;007;    ;0054034;LANCHO. DUTIQUIM                                  ;(74)99986-6030 ;020;206;RDC5J22;     127,96;    0,12;06/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;aloisio    ;23:15
216786                            ;05/02/2024;    ;257235;007;    ;0054034;LANCHO. DUTIQUIM                                  ;(74)99986-6030 ;020;206;RDC5J22;     109,73;    0,07;06/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;aloisio    ;23:14
