Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
245391;02/02/2026;    ;811297;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;4930,8;4,84;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:30
245391;02/02/2026;    ;811298;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;88,48;0,42;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:30
245391;02/02/2026;    ;811299;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;88,48;0,42;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:30
245391;02/02/2026;    ;811300;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;118,97;0,07;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:30
245391;02/02/2026;    ;811301;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;118,97;0,07;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:30
245391;02/02/2026;    ;811302;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;115,41;0,03;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:29
245391;02/02/2026;    ;811303;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;147,7;0,14;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:29
245391;02/02/2026;    ;811304;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;363,48;0,23;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:29
245391;02/02/2026;    ;811305;7;    ;57506;BAR DISTR. MANGUEIRA                              ;(74)99963-6455 ;20;203;SJQ2B65;229,86;0,01;04/02/2026;71;SEM DINHEIRO/CHEQUE           ;   ;teles      ;10:29
245395;02/02/2026;    ;811440;7;    ;64810;DISTRIBUIDOR IMPERIO                              ;(64)98132-7934 ;10;109;RPP6J11;271,01;0,43;02/02/2026;50;CARGA ERRADA ARMAZEM          ;   ;gabriel.jz ;21:31
