Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora
067687                            ;01/02/2024;    ;041173;003;    ;0011185;LANCHONET MEU SABOR                               ;(75)99838-0067 ;050;506;RCP2C35;     111,00;    0,13;01/02/2024;82;ENDERECO NAO ENCONTRADO       ;   ;douglas    ;17:51
067687                            ;01/02/2024;    ;041174;003;    ;0011185;LANCHONET MEU SABOR                               ;(75)99838-0067 ;050;506;RCP2C35;     113,00;    0,13;01/02/2024;82;ENDERECO NAO ENCONTRADO       ;   ;douglas    ;17:51
067688                            ;01/02/2024;    ;041190;003;    ;0012872;BMF COMERCIO DE ALIM                              ;(71)99983-6858 ;050;506;SJP8E67;      99,80;    0,13;01/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;pedrocosta ;19:19
067689                            ;01/02/2024;    ;041283;003;    ;0017698;ATACADAO BRAUNA                                   ;(79)99878-2792 ;050;503;PKP0325;       6,67;    0,01;01/02/2024;63;PRODUTO / QTDE. ERRADA        ;   ;pedrocosta ;18:07
067690                            ;01/02/2024;    ;041290;003;    ;0016903;TOCA DO INDIO                                     ;(75)99966-4771 ;050;510;RPP9G99;     508,94;    0,65;01/02/2024;71;SEM DINHEIRO/CHEQUE           ;   ;douglas    ;17:17
067691                            ;01/02/2024;    ;041321;003;    ;0016823;EMPÓRIO PRIME                                     ;(75)99968-6478 ;050;510;PKP3742;       5,22;    0,00;01/02/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;douglas    ;17:24
067692                            ;01/02/2024;    ;041400;003;    ;0010795;BAR E MERC EDINILSON                              ;(75)99884-5588 ;050;501;SJP7G64;     108,34;    0,14;01/02/2024;64;SEM VASILHAME                 ;   ;douglas    ;16:03
067693                            ;01/02/2024;    ;041428;003;    ;0009763;MERCADINHO J ALMEIDA                              ;(75)93300-5559 ;050;503;RPP6G96;     297,64;    1,08;01/02/2024;83;PROPRIETARIO AUSENTE          ;   ;douglas    ;16:18
067717                            ;02/02/2024;    ;041681;003;    ;0017979;MERC TEND TUDO                                    ;(71)99991-0265 ;050;508;OVC3048;     478,50;    0,63;02/02/2024;70;CLIENTE CANCELOU              ;   ;joao       ;17:57
067717                            ;02/02/2024;    ;041683;003;    ;0017979;MERC TEND TUDO                                    ;(71)99991-0265 ;050;508;OVC3048;      22,92;    0,04;02/02/2024;70;CLIENTE CANCELOU              ;   ;joao       ;17:57
