Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
087173                            ;02/05/2026;    ;467345;003;    ;0004994;SUPERMER BITENCOURT                               ;(75) 3278-2965 ;050;510;SJP7G64;    1462,50;    1,89;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:28
087173                            ;02/05/2026;    ;467346;003;    ;0004994;SUPERMER BITENCOURT                               ;(75) 3278-2965 ;050;510;SJP7G64;      28,76;    0,03;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:26
087173                            ;02/05/2026;    ;467349;003;    ;0014616;ARENA CRF                                         ;(75)99819-4908 ;050;511;SJP7G64;     175,90;    0,14;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;edson      ;18:12
087173                            ;02/05/2026;    ;467356;003;    ;0019324;JOSE NEVES DE OLIVEI                              ;(75)99837-3236 ;050;510;SJP7G64;      97,75;    0,24;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:32
087173                            ;02/05/2026;    ;467357;003;    ;0019324;JOSE NEVES DE OLIVEI                              ;(75)99837-3236 ;050;510;SJP7G64;     178,84;    0,16;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:32
087173                            ;02/05/2026;    ;467358;003;    ;0019324;JOSE NEVES DE OLIVEI                              ;(75)99837-3236 ;050;510;SJP7G64;     539,19;    0,63;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:32
087173                            ;02/05/2026;    ;467359;003;    ;0019324;JOSE NEVES DE OLIVEI                              ;(75)99837-3236 ;050;510;SJP7G64;     271,40;    0,24;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:34
087173                            ;02/05/2026;    ;467360;003;    ;0019324;JOSE NEVES DE OLIVEI                              ;(75)99837-3236 ;050;510;SJP7G64;      45,90;    0,05;02/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;17:34
087173                            ;02/05/2026;    ;467361;003;    ;0006020;MERC MANANCIAL                                    ;(75)99933-4122 ;050;510;SJP7G64;     310,51;    0,55;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:28
087173                            ;02/05/2026;    ;467381;003;    ;0009982;MERCEARIA PAI E FILH                              ;(75)99949-2702 ;050;511;SJP7G64;    1906,93;    2,21;02/05/2026;70;CLIENTE CANCELOU              ;   ;emerson.rp ;17:26
087173                            ;02/05/2026;    ;467389;003;    ;0016829;DISK GELADA NASCIM                                ;(75)99861-0138 ;050;511;SJP7G64;    1235,66;    1,48;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:27
087173                            ;02/05/2026;    ;467390;003;    ;0016829;DISK GELADA NASCIM                                ;(75)99861-0138 ;050;511;SJP7G64;      42,82;    0,02;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:27
087173                            ;02/05/2026;    ;467391;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     270,31;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:41
087173                            ;02/05/2026;    ;467392;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     270,31;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:35
087173                            ;02/05/2026;    ;467393;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     270,31;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:37
087173                            ;02/05/2026;    ;467394;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     270,31;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:38
087173                            ;02/05/2026;    ;467395;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     310,43;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:38
087173                            ;02/05/2026;    ;467396;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     310,43;    0,34;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:39
087173                            ;02/05/2026;    ;467397;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;     186,26;    0,20;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:39
087173                            ;02/05/2026;    ;467398;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;      24,35;    0,04;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:41
087173                            ;02/05/2026;    ;467399;003;    ;0016859;DISK GELADA                                       ;(75)99954-5397 ;050;511;SJP7G64;      61,90;    0,06;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:40
087174                            ;02/05/2026;    ;467408;003;    ;0014662;RESTAURANTE SABORES                               ;(75)99822-4530 ;050;510;OZC7460;     354,90;    0,40;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;17:52
087174                            ;02/05/2026;    ;467426;003;    ;0006520;MERCEARIA TAVARES                                 ;(79)99808-4108 ;050;511;OZC7460;     642,75;    0,80;02/05/2026;73;FALTA DE ATIVOS DE GIRO       ;   ;emerson.rp ;17:52
087175                            ;02/05/2026;    ;467462;003;    ;0005568;PASTEL MANIA                                      ;(75)99806-1979 ;050;500;RPP6G96;     539,00;    0,69;02/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;16:56
087201                            ;04/05/2026;    ;467941;003;    ;0019651;QUIOSQUE DO BAIXINH                               ;(11)96375-8222 ;050;507;OVC3048;     117,00;    0,13;04/05/2026;71;SEM DINHEIRO/CHEQUE           ;   ;emerson.rp ;16:45
087202                            ;04/05/2026;    ;467973;003;    ;0017039;BAR DO POSTO JM                                   ;(75)99298-9457 ;050;511;KIZ3217;     449,52;    0,63;04/05/2026;73;FALTA DE ATIVOS DE GIRO       ;   ;emerson.rp ;16:16
087203                            ;04/05/2026;    ;467978;003;    ;0017955;DISK DO PINHEIRO                                  ;(75)99129-5227 ;050;501;OZC4855;    1213,32;    1,64;04/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;14:50
087203                            ;04/05/2026;    ;467979;003;    ;0017955;DISK DO PINHEIRO                                  ;(75)99129-5227 ;050;501;OZC4855;     325,85;    0,35;04/05/2026;72;PDV FECHADO (HORARIO COM.)    ;   ;emerson.rp ;14:50
087203                            ;04/05/2026;    ;467991;003;    ;0013483;DISK DO ADILIO                                    ;(75)99867-5412 ;070;751;OZC4855;    2432,78;    3,10;04/05/2026;42;Produto/Quantidade Errada     ;   ;emerson.rp ;14:51
087203                            ;04/05/2026;    ;467992;003;    ;0013483;DISK DO ADILIO                                    ;(75)99867-5412 ;070;751;OZC4855;    2432,78;    3,10;04/05/2026;42;Produto/Quantidade Errada     ;   ;emerson.rp ;14:52
087203                            ;04/05/2026;    ;467993;003;    ;0013483;DISK DO ADILIO                                    ;(75)99867-5412 ;070;751;OZC4855;    2324,65;    2,96;04/05/2026;42;Produto/Quantidade Errada     ;   ;emerson.rp ;14:52
087203                            ;04/05/2026;    ;467994;003;    ;0013483;DISK DO ADILIO                                    ;(75)99867-5412 ;070;751;OZC4855;     978,24;    2,64;04/05/2026;42;Produto/Quantidade Errada     ;   ;emerson.rp ;14:52
