Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora
010708                            ;01/04/2024;    ;157744;001;    ;0010987;LANCH SORVT DO RAFA                               ;(75)99851-7691 ;060;609;RDC3E61;     342,68;    0,34;01/04/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;18:01
010708                            ;01/04/2024;    ;157745;001;    ;0010987;LANCH SORVT DO RAFA                               ;(75)99851-7691 ;060;609;RDC3E61;     989,71;    2,15;01/04/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;18:01
010709                            ;01/04/2024;    ;157799;001;    ;0017310;BABA DA AMIZA PA                                  ;(75)99867-3211 ;060;603;RCP0A43;     712,60;    0,96;02/04/2024;64;SEM VASILHAME                 ;   ;darlan     ;10:47
010710                            ;01/04/2024;    ;157819;001;    ;0017548;MERC SILVA                                        ;(79)99628-2054 ;060;606;RPQ3A36;    1190,22;    1,63;01/04/2024;71;SEM DINHEIRO/CHEQUE           ;   ;roany      ;16:54
010713                            ;01/04/2024;    ;157874;001;    ;0012144;BAR XOXA                                          ;(71)99136-0311 ;060;604;RPR6B86;     152,70;    0,20;01/04/2024;71;SEM DINHEIRO/CHEQUE           ;   ;roany      ;16:36
010713                            ;01/04/2024;    ;157897;001;    ;0018048;TAIS AUCINELY                                     ;(75)99829-4661 ;060;604;RPR6B86;     111,60;    0,33;01/04/2024;71;SEM DINHEIRO/CHEQUE           ;   ;roany      ;16:36
010713                            ;01/04/2024;    ;157898;001;    ;0017328;BAR E REST DA TEREZA                              ;(75)98882-3455 ;060;604;RPR6B86;     237,55;    0,34;01/04/2024;71;SEM DINHEIRO/CHEQUE           ;   ;roany      ;16:36
010727                            ;02/04/2024;    ;158027;001;    ;0013936;SUPERTUDO                                         ;(75)98856-0311 ;060;609;RPH0H69;     384,74;    0,63;03/04/2024;89;PDV FECHADO APOS HORARIO      ;   ;darlan     ;14:29
010727                            ;02/04/2024;    ;158028;001;    ;0001223;MERCADINHO REIS                                   ;(75)99983-6919 ;060;609;RPH0H69;    1001,20;    1,77;02/04/2024;89;PDV FECHADO APOS HORARIO      ;   ;roany      ;20:51
010727                            ;02/04/2024;    ;158029;001;    ;0001223;MERCADINHO REIS                                   ;(75)99983-6919 ;060;609;RPH0H69;       5,22;    0,00;02/04/2024;89;PDV FECHADO APOS HORARIO      ;   ;roany      ;20:52
