Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
002509                            ;02/09/2024;    ;033341;003;    ;0029405;MERCADINHO RAIANE                                 ;(75)98196-8643 ;040;409;SJQ2B64;     615,00;    0,79;03/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;22:27
002529                            ;03/09/2024;    ;033533;003;    ;0032805;Mercadinho popular                                ;(75) 9139-3124 ;040;402;SJQ2B64;      52,94;    0,16;03/09/2024;55;QUALIDADE DO PRODUTO          ;   ;rafael     ;22:14
002537                            ;03/09/2024;    ;033819;003;    ;0000066;BIG LANCHE 2                                      ;(11)98527-1625 ;040;414;SJQ7D41;      56,83;    0,08;03/09/2024;71;SEM DINHEIRO/CHEQUE           ;   ;jadson.se  ;16:07
002538                            ;03/09/2024;    ;033829;003;    ;0086725;STILUS PANIF E RESTA                              ;(75) 9212-1898 ;040;408;SJQ9G53;     567,26;    0,92;03/09/2024;42;Produto/Quantidade Errada     ;   ;jadson.se  ;17:39
002544                            ;03/09/2024;    ;034046;003;    ;0086500;BAR DO VAL                                        ;(75)98244-6887 ;040;410;DEN3A12;     254,70;    0,31;04/09/2024;32;ENTREGA ATRASADA (BUFFER)     ;   ;mauricio.se;17:23
002544                            ;03/09/2024;    ;034047;003;    ;0086500;BAR DO VAL                                        ;(75)98244-6887 ;040;410;DEN3A12;      36,10;    0,04;04/09/2024;32;ENTREGA ATRASADA (BUFFER)     ;   ;mauricio.se;17:22
002549                            ;03/09/2024;    ;034140;003;    ;0000457;BAR SKOLZINHA                                     ;(75)99701-1960 ;040;410;SYE5D21;     291,84;    0,37;03/09/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;jadson.se  ;18:11
002556                            ;03/09/2024;    ;034168;003;    ;0087408;BAR DA GORETTE                                    ;(75)99159-5616 ;040;406;GGC2226;    4000,00;    0,00;03/09/2024;46;Endereco Nao Encontrado       ;   ;jadson.se  ;17:35
002565                            ;03/09/2024;    ;034172;003;    ;0000355;VAQUEJADA D SERRINHA                              ;(75)99925-2606 ;040;406;SJQ3C18;   10940,10;   31,80;10/09/2024;91;CONSIGNACAO                   ;   ;alyson     ;19:52
002566                            ;03/09/2024;    ;034178;003;    ;0000355;VAQUEJADA D SERRINHA                              ;(75)99925-2606 ;040;406;SJQ3C18;   12441,56;   13,26;10/09/2024;91;CONSIGNACAO                   ;   ;alyson     ;19:52
002570                            ;04/09/2024;    ;034180;003;    ;0000355;VAQUEJADA D SERRINHA                              ;(75)99925-2606 ;040;406;SJQ3C18;   53562,60;   64,09;10/09/2024;91;CONSIGNACAO                   ;   ;alyson     ;19:52
002574                            ;04/09/2024;    ;034184;003;    ;0000355;VAQUEJADA D SERRINHA                              ;(75)99925-2606 ;040;406;SJQ3C18;  100386,00;  120,12;10/09/2024;91;CONSIGNACAO                   ;   ;alyson     ;19:53
002577                            ;04/09/2024;    ;034275;003;    ;0020858;BAR RASGATANGA                                    ;(75)99202-9121 ;040;414;SJQ7D41;     128,04;    0,27;04/09/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;cunha.se   ;19:52
002577                            ;04/09/2024;    ;034288;003;    ;0020006;MERCADINHO SANTANA                                ;(07)50000-0000 ;040;414;SJQ7D41;     855,73;    1,14;04/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;19:53
002577                            ;04/09/2024;    ;034291;003;    ;0020273;BOMBONIERE DO DUDU                                ;(07)59972-0418 ;040;414;SJQ7D41;      81,75;    0,12;04/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;19:54
002577                            ;04/09/2024;    ;034292;003;    ;0020431;DEPOSITO DE  NENEM                                ;(75)99917-6677 ;040;414;SJQ7D41;    1342,89;    1,72;04/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;19:55
002577                            ;04/09/2024;    ;034293;003;    ;0020431;DEPOSITO DE  NENEM                                ;(75)99917-6677 ;040;414;SJQ7D41;      69,80;    0,08;04/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;19:55
002577                            ;04/09/2024;    ;034294;003;    ;0020251;LANCHONETE DA MARIA                               ;(07)59879-7834 ;040;414;SJQ7D41;      77,80;    0,20;04/09/2024;87;TEMPO INSUFICIENTE            ;   ;cunha.se   ;19:53
